 written on  7Jul2026 at 13:18:25 
         100
          21
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -1    0   24    3    0.000107    0.000008
   -3   -1    0   25    3   -0.000020    0.000007
   -3   -1    0   26    3    0.000140   -0.000008
   -3   -1    0   27    3   -0.000055    0.000002
   -3   -1    0   28    3   -0.000097    0.000007
   -3   -1    0   29    3    0.000014   -0.000008
   -3   -1    0   30    3    0.000021   -0.000003
   -3   -1    0   31    3    0.000002    0.000001
   -3   -1    0   32    3    0.000109    0.000008
   -3   -1    0   33    3   -0.000183    0.000034
   -3   -1    0   34    3    0.000042   -0.000004
   -3   -1    0   35    3   -0.000036    0.000001
   -3   -1    0   36    3   -0.000061    0.000004
   -3   -1    0   37    3   -0.000023   -0.000010
   -3   -1    0   38    3    0.000018    0.000007
   -3   -1    0   39    3    0.000049    0.000014
   -3   -1    0   40    3   -0.000015    0.000008
   -3   -1    0   41    3   -0.000029    0.000001
   -3   -1    0   42    3    0.000005   -0.000005
   -3   -1    0   43    3   -0.000035   -0.000006
   -3   -1    0   44    3    0.000144    0.000020
   -3   -1    0   45    3    0.000025   -0.000004
   -3   -1    0   46    3    0.000100    0.000003
   -3   -1    0   47    3    0.000024   -0.000004
   -3   -1    0   48    3   -0.000010   -0.000006
   -3   -1    0   49    3    0.000007    0.000002
   -3   -1    0   50    3   -0.000033    0.000003
   -3   -1    0   51    3    0.000007    0.000003
   -3   -1    0   52    3   -0.000011    0.000000
   -3   -1    0   53    3   -0.000013   -0.000002
   -3   -1    0   54    3   -0.000005   -0.000003
   -3   -1    0   55    3   -0.000024    0.000002
   -3   -1    0   56    3    0.000016    0.000001
   -3   -1    0   57    3   -0.000020    0.000001
   -3   -1    0   58    3   -0.000011   -0.000002
   -3   -1    0   59    3   -0.000088   -0.000002
   -3   -1    0   60    3   -0.000092    0.000012
   -3   -1    0   61    3   -0.000076   -0.000004
   -3   -1    0   62    3    0.000253   -0.000002
   -3   -1    0   63    3   -0.000016    0.000010
   -3   -1    0   64    3   -0.000079   -0.000010
   -3   -1    0   65    3   -0.000102   -0.000003
   -3   -1    0   66    3   -0.000033    0.000001
   -3   -1    0   67    3   -0.000050    0.000011
   -3   -1    0   68    3    0.000076   -0.000010
   -3   -1    0   69    3   -0.000168    0.000007
   -3   -1    0   70    3   -0.000022   -0.000017
   -3   -1    0   71    3   -0.000002   -0.000001
   -3   -1    0   72    3    0.000106    0.000011
   -3   -1    0   73    3   -0.000021    0.000001
   -3   -1    0   74    3    0.000075   -0.000005
   -3   -1    0   75    3    0.000003   -0.000012
   -3   -1    0   76    3   -0.000016    0.000010
   -3   -1    0   77    3    0.000047    0.000002
   -3   -1    0   78    3    0.000070    0.000004
   -3   -1    0   79    3   -0.000037   -0.000003
   -3   -1    0   80    3   -0.000061    0.000003
   -3   -1    0   81    3   -0.000239    0.000018
   -3   -1    0   82    3   -0.000270    0.000011
   -3   -1    0   83    3   -0.000150    0.000012
   -3   -1    0   84    3    0.000019    0.000012
   -3   -1    0   85    3    0.000018    0.000003
   -3   -1    0   86    3   -0.000092    0.000005
   -3   -1    0   87    3   -0.000122    0.000006
   -3   -1    0   88    3    0.000107    0.000012
   -3   -1    0   89    3    0.000118   -0.000006
   -3   -1    0   90    3   -0.000033    0.000009
   -3   -1    0   91    3   -0.000166    0.000000
   -3   -1    0   92    3   -0.000087   -0.000014
   -3   -1    0   93    3    0.000173    0.000015
   -3   -1    0   94    3   -0.000125    0.000003
   -3   -1    0   95    3   -0.000366   -0.000015
   -3   -1    0   96    3    0.000062   -0.000000
   -3   -1    0   97    3   -0.000112    0.000006
   -3   -1    0   98    3    0.000121    0.000007
   -3   -1    0   99    3   -0.000039   -0.000001
   -3   -1    0  100    3    0.000083   -0.000003
   -3   -1    0    1    4   -0.000098   -0.000001
   -3   -1    0    2    4    0.000002   -0.000004
   -3   -1    0    3    4   -0.000039   -0.000005
   -3   -1    0    4    4    0.000086    0.000001
   -3   -1    0    5    4   -0.000083   -0.000004
   -3   -1    0    6    4    0.000025    0.000006
   -3   -1    0    7    4   -0.000027    0.000001
   -3   -1    0    8    4    0.000017    0.000001
   -3   -1    0    9    4   -0.000061    0.000003
   -3   -1    0   10    4   -0.000049    0.000002
   -3   -1    0   11    4    0.000043   -0.000014
   -3   -1    0   12    4   -0.000152   -0.000005
   -3   -1    0   13    4   -0.000013   -0.000004
   -3   -1    0   14    4    0.000006    0.000003
   -3   -1    0   15    4   -0.000029   -0.000001
   -3   -1    0   16    4    0.000052   -0.000007
   -3   -1    0   17    4    0.000118   -0.000005
   -3   -1    0   18    4    0.000078   -0.000007
   -3   -1    0   19    4    0.000093    0.000003
   -3   -1    0   20    4   -0.000126    0.000007
   -3   -1    0   21    4   -0.000045   -0.000008
   -3   -1    0   22    4    0.000099    0.000008
   -3   -1    0   23    4   -0.000084   -0.000003
   -3   -1    0   24    4    0.000039    0.000015
   -3   -1    0   25    4    0.000020    0.000007
   -3   -1    0   26    4    0.000031   -0.000001
   -3   -1    0   27    4    0.000062   -0.000012
   -3   -1    0   28    4    0.000044   -0.000006
   -3   -1    0   29    4   -0.000273    0.000014
   -3   -1    0   30    4   -0.000109   -0.000017
   -3   -1    0   31    4    0.000029   -0.000030
   -3   -1    0   32    4    0.000344   -0.000009
   -3   -1    0   33    4   -0.000018    0.000044
   -3   -1    0   34    4   -0.000034    0.000002
   -3   -1    0   35    4   -0.000002   -0.000004
   -3   -1    0   36    4    0.000087    0.000003
   -3   -1    0   37    4   -0.000073    0.000004
   -3   -1    0   38    4    0.000057   -0.000012
   -3   -1    0   39    4    0.000052   -0.000007
   -3   -1    0   40    4    0.000183   -0.000001
   -3   -1    0   41    4   -0.000153    0.000003
   -3   -1    0   42    4   -0.000048   -0.000001
   -3   -1    0   43    4    0.000170   -0.000004
   -3   -1    0   44    4    0.000031    0.000017
   -3   -1    0   45    4   -0.000061   -0.000005
   -3   -1    0   46    4    0.000014   -0.000006
   -3   -1    0   47    4   -0.000109    0.000011
   -3   -1    0   48    4   -0.000100    0.000007
   -3   -1    0   49    4   -0.000011    0.000001
   -3   -1    0   50    4    0.000019   -0.000000
   -3   -1    0   51    4   -0.000023    0.000002
   -3   -1    0   52    4    0.000041    0.000000
   -3   -1    0   53    4    0.000061   -0.000002
   -3   -1    0   54    4    0.000010   -0.000000
   -3   -1    0   55    4    0.000015    0.000001
   -3   -1    0   56    4   -0.000030    0.000000
   -3   -1    0   57    4    0.000020    0.000000
   -3   -1    0   58    4    0.000033    0.000001
   -3   -1    0   59    4    0.000024   -0.000004
   -3   -1    0   60    4   -0.000073    0.000002
   -3   -1    0   61    4   -0.000055    0.000008
   -3   -1    0   62    4   -0.000228    0.000001
   -3   -1    0   63    4    0.000130   -0.000008
   -3   -1    0   64    4   -0.000097    0.000004
   -3   -1    0   65    4   -0.000096    0.000003
   -3   -1    0   66    4    0.000130   -0.000000
   -3   -1    0   67    4   -0.000058    0.000001
   -3   -1    0   68    4   -0.000160   -0.000012
   -3   -1    0   69    4    0.000359    0.000003
   -3   -1    0   70    4    0.000150    0.000018
   -3   -1    0   71    4    0.000032    0.000010
   -3   -1    0   72    4   -0.000225    0.000001
   -3   -1    0   73    4   -0.000043    0.000011
   -3   -1    0   74    4   -0.000070    0.000001
   -3   -1    0   75    4   -0.000120   -0.000012
   -3   -1    0   76    4   -0.000000   -0.000002
   -3   -1    0   77    4   -0.000018    0.000000
   -3   -1    0   78    4   -0.000033   -0.000003
   -3   -1    0   79    4   -0.000007   -0.000001
   -3   -1    0   80    4   -0.000091    0.000008
   -3   -1    0   81    4   -0.000402   -0.000011
   -3   -1    0   82    4   -0.000216    0.000024
   -3   -1    0   83    4    0.000038    0.000017
   -3   -1    0   84    4   -0.000003    0.000011
   -3   -1    0   85    4    0.000066    0.000004
   -3   -1    0   86    4    0.000101   -0.000003
   -3   -1    0   87    4    0.000049   -0.000006
   -3   -1    0   88    4    0.000160    0.000000
   -3   -1    0   89    4    0.000022   -0.000001
   -3   -1    0   90    4    0.000176    0.000008
   -3   -1    0   91    4    0.000193    0.000001
   -3   -1    0   92    4    0.000050    0.000010
   -3   -1    0   93    4    0.000213    0.000032
   -3   -1    0   94    4   -0.000177    0.000047
   -3   -1    0   95    4    0.000162   -0.000033
   -3   -1    0   96    4    0.000153    0.000003
   -3   -1    0   97    4    0.000126   -0.000002
   -3   -1    0   98    4   -0.000105   -0.000007
   -3   -1    0   99    4   -0.000012   -0.000001
   -3   -1    0  100    4   -0.000124    0.000009
   -3   -1    0    1    5    0.000281    0.000004
   -3   -1    0    2    5    0.000185    0.000013
   -3   -1    0    3    5    0.000164   -0.000001
   -3   -1    0    4    5   -0.000066    0.000010
